EVENTO,TIPO_EVENTO,CONTRATO,APELIDO,DESCRICAO,QUANTIDADE,
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,NOTEBOOK TIPO III,NOTEBOOK CORE I3,2,"R$  270,3900"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,MICRO TIPO I,MICRO DESKTOP I7,5,"R$  387,3600"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,MICRO TIPO II,MICRO DESKTOP I5,45,"R$  221,7800"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,MICRO TIPO III,MICRO DESKTOP I3,4,"R$  173,9300"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,29,"R$  286,3400"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,IMPRESSORA TIPO II,IMPRESSORA LASER MONOCROMÁTICA A4,4,"R$  234,7000"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,IMPRESSORA TIPO VII,DUPLICADOR MONOCROMÁTICO DIGITAL,1,"R$  1.499,3200"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,DATASHOW TIPO I,DATASHOW MÍNIMO 2500 LUMENS.,1,"R$  181,1700"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,COMPONENTE TIPO II,SWITCH 48 PORTAS,1,"R$  193,4700"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,COMPONENTE TIPO III,SWITCH 16 PORTAS,1,"R$  50,3000"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,COMPONENTE TIPO IV,SWITCH 8 PORTAS,1,"R$  13,4200"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,2,"R$  36,6500"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,COMPONENTE TIPO VI,ACCESS POINT INDOOR BANDA DUPLA MÍNIMO 1750 MBPS,1,"R$  91,1800"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,COMPONENTE TIPO XI,NO BREAK 1200 VA,1,"R$  63,8000"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,COMPONENTE TIPO XII,NO BREAK 700 VA,2,"R$  41,9500"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,TV TIPO III,TV 40 POLEGADAS SMART OU SUPERIOR,1,"R$  105,0900"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,7,"R$  148,1100"
261,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - EDUCAÇÃO,IMPRESSORA TIPO V,MULTIFUNCIONAL LASER A3 COLOR I27,1,"R$  1.239,5600"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,NOTEBOOK TIPO II,NOTEBOOK CORE I5,1,"R$  344,7500"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,NOTEBOOK TIPO III,NOTEBOOK CORE I3,1,"R$  270,3900"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,MICRO TIPO II,MICRO DESKTOP I5,6,"R$  221,7800"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,MICRO TIPO III,MICRO DESKTOP I3,1,"R$  173,9300"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,2,"R$  86,3400"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,COMPONENTE TIPO III,SWITCH 16 PORTAS,1,"R$  50,3000"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,1,"R$  36,6500"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,COMPONENTE TIPO XII,NO BREAK 700 VA,1,"R$  41,9500"
264,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - ESPORTE E JUVENTUDE,IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,2,"R$  148,1100"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,NOTEBOOK TIPO I,NOTEBOOK CORE I7,4,"R$  534,7100"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,NOTEBOOK TIPO II,NOTEBOOK CORE I5,5,"R$  344,7500"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,NOTEBOOK TIPO III,NOTEBOOK CORE I3,3,"R$  270,3900"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,MICRO TIPO I,MICRO DESKTOP I7,4,"R$  387,3600"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,MICRO TIPO II,MICRO DESKTOP I5,28,"R$  221,7800"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,MICRO TIPO III,MICRO DESKTOP I3,2,"R$  173,9300"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,17,"R$  286,3400"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,IMPRESSORA TIPO II,IMPRESSORA LASER MONOCROMÁTICA A4,3,"R$  234,7000"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,DATASHOW TIPO I,DATASHOW MÍNIMO 2500 LUMENS.,1,"R$  181,1700"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,COMPONENTE TIPO II,SWITCH 48 PORTAS,1,"R$  193,4700"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,COMPONENTE TIPO III,SWITCH 16 PORTAS,1,"R$  50,3000"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,COMPONENTE TIPO IV,SWITCH 8 PORTAS,1,"R$  13,4200"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,1,"R$  36,6500"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,COMPONENTE TIPO VI,ACCESS POINT INDOOR BANDA DUPLA MÍNIMO 1750 MBPS,1,"R$  91,1800"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,COMPONENTE TIPO XI,NO BREAK 1200 VA,2,"R$  63,8000"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,COMPONENTE TIPO XII,NO BREAK 700 VA,4,"R$  41,9500"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,TV TIPO III,TV 40 POLEGADAS SMART OU SUPERIOR,4,"R$  105,0900"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,14,"R$  148,1100"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,IMPRESSORA TIPO V,MULTIFUNCIONAL LASER A3 COLOR I27,,"R$  1.239,5600"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,MONITOR TIPO I,MONITOR MÍNIMO 23 POLEGADAS.,2,"R$  90,3800"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,SCANNER TIPO II,SCANNER DE MESA A4 MÍNIMO 40PPM DUPLEX,1,"R$  201,7300"
267,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GABINETE DA PREFEITA,TV TIPO II,TV 50 POLEGADAS SMART OU SUPERIOR,1,"R$  169,2900"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,NOTEBOOK TIPO I,NOTEBOOK CORE I7,1,"R$  534,7100"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,NOTEBOOK TIPO II,NOTEBOOK CORE I5,6,"R$  344,7500"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,NOTEBOOK TIPO III,NOTEBOOK CORE I3,4,"R$  270,3900"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,MICRO TIPO I,MICRO DESKTOP I7,4,"R$  387,3600"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,MICRO TIPO II,MICRO DESKTOP I5,51,"R$  221,7800"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,MICRO TIPO III,MICRO DESKTOP I3,12,"R$  173,9300"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,38,"R$  286,3400"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,IMPRESSORA TIPO II,IMPRESSORA LASER MONOCROMÁTICA A4,5,"R$  234,7000"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,DATASHOW TIPO I,DATASHOW MÍNIMO 2500 LUMENS.,1,"R$  181,1700"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO II,SWITCH 48 PORTAS,1,"R$  193,4700"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO III,SWITCH 16 PORTAS,2,"R$  50,3000"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO IV,SWITCH 8 PORTAS,1,"R$  13,4200"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,2,"R$  36,6500"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO VI,ACCESS POINT INDOOR BANDA DUPLA MÍNIMO 1750 MBPS,1,"R$  91,1800"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO XII,NO BREAK 700 VA,2,"R$  41,9500"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,TV TIPO III,TV 40 POLEGADAS SMART OU SUPERIOR,2,"R$  105,0900"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,23,"R$  148,1100"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,IMPRESSORA TIPO V,MULTIFUNCIONAL LASER A3 COLOR I27,1,"R$  1.239,5600"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,MONITOR TIPO I,MONITOR MÍNIMO 23 POLEGADAS.,2,"R$  90,3800"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,SCANNER TIPO II,SCANNER DE MESA A4 MÍNIMO 40PPM DUPLEX,1,"R$  201,7300"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,TV TIPO II,TV 50 POLEGADAS SMART OU SUPERIOR,1,"R$  169,2900"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,MICRO TIPO VII,SERVIDOR MÍNIMO 3.7GHZ - 16GB RAM,1,"R$  470,9100"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,IMPRESSORA TIPO X,IMPRESSORA MATRICIAL 80 COLUNAS,2,"R$  196,7200"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO I,SWITCH 48 PORTAS GERENCIÁVE,1,"R$  283,8900"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO X,NO BREAK 3000 VA,1,"R$  199,4600"
270,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - GESTÃO ADMINISTRATIVA,COMPONENTE TIPO XI,NO BREAK 1200 VA,2,"R$  63,8000"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,NOTEBOOK TIPO I,NOTEBOOK CORE I7,1,"R$  534,7100"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,NOTEBOOK TIPO II,NOTEBOOK CORE I5,1,"R$  344,7500"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,NOTEBOOK TIPO III,NOTEBOOK CORE I3,1,"R$  270,3900"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,MICRO TIPO I,MICRO DESKTOP I7,1,"R$  387,3600"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,MICRO TIPO II,MICRO DESKTOP I5,6,"R$  221,7800"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,MICRO TIPO III,MICRO DESKTOP I3,1,"R$  173,9300"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,2,"R$  286,3400"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,COMPONENTE TIPO II,SWITCH 48 PORTAS,1,"R$  193,4700"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,COMPONENTE TIPO IV,SWITCH 8 PORTAS,1,"R$  13,4200"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,1,"R$  36,6500"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,COMPONENTE TIPO VI,ACCESS POINT INDOOR BANDA DUPLA MÍNIMO 1750 MBPS,1,"R$  91,1800"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,COMPONENTE TIPO XII,NO BREAK 700 VA,1,"R$  41,9500"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,4,"R$  148,1100"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,MONITOR TIPO I,MONITOR MÍNIMO 23 POLEGADAS.,2,"R$  90,3800"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,COMPONENTE TIPO I,SWITCH 48 PORTAS GERENCIÁVE,1,"R$  283,8900"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,IMPRESSORA TIPO VI,PLOTTER COLORIDO 24 POLEGADAS,1,"R$  1.363,3600"
273,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - INFRAESTRUTURA,SCANNER TIPO III,SCANNER DE MESA A3 MÍNIMO 40PPM DUPLEX,1,"R$  1.325,3600"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",NOTEBOOK TIPO II,NOTEBOOK CORE I5,1,"R$  344,7500"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",NOTEBOOK TIPO III,NOTEBOOK CORE I3,1,"R$  270,3900"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",MICRO TIPO I,MICRO DESKTOP I7,1,"R$  387,3600"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",MICRO TIPO II,MICRO DESKTOP I5,6,"R$  221,7800"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",MICRO TIPO III,MICRO DESKTOP I3,3,"R$  173,9300"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,3,"R$  286,3400"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",COMPONENTE TIPO III,SWITCH 16 PORTAS,1,"R$  50,3000"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,1,"R$  36,6500"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",COMPONENTE TIPO XII,NO BREAK 700 VA,1,"R$  41,9500"
276,CADASTRO,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,2,"R$  148,1100"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,NOTEBOOK TIPO I,NOTEBOOK CORE I7,1,"R$  534,7100"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,NOTEBOOK TIPO II,NOTEBOOK CORE I5,3,"R$  344,7500"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,MICRO TIPO I,MICRO DESKTOP I7,1,"R$  387,3600"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,MICRO TIPO II,MICRO DESKTOP I5,6,"R$  221,7800"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,MICRO TIPO III,MICRO DESKTOP I3,1,"R$  173,9300"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,2,"R$  286,3400"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,COMPONENTE TIPO III,SWITCH 16 PORTAS,1,"R$  50,3000"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,COMPONENTE TIPO IV,SWITCH 8 PORTAS,1,"R$  13,4200"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,1,"R$  36,6500"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,COMPONENTE TIPO VI,ACCESS POINT INDOOR BANDA DUPLA MÍNIMO 1750 MBPS,1,"R$  91,1800"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,COMPONENTE TIPO XI,NO BREAK 1200 VA,,"R$  63,8000"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,COMPONENTE TIPO XII,NO BREAK 700 VA,1,"R$  41,9500"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,TV TIPO III,TV 40 POLEGADAS SMART OU SUPERIOR,1,"R$  105,0900"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,2,"R$  148,1100"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,IMPRESSORA TIPO V,MULTIFUNCIONAL LASER A3 COLOR I27,,"R$  1.239,5600"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,MONITOR TIPO I,MONITOR MÍNIMO 23 POLEGADAS.,2,"R$  90,3800"
279,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,TV TIPO II,TV 50 POLEGADAS SMART OU SUPERIOR,1,"R$  105,0900"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,NOTEBOOK TIPO I,NOTEBOOK CORE I7,1,"R$  534,7100"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,NOTEBOOK TIPO II,NOTEBOOK CORE I5,5,"R$  344,7500"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,NOTEBOOK TIPO III,NOTEBOOK CORE I3,5,"R$  270,3900"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,MICRO TIPO I,MICRO DESKTOP I7,6,"R$  387,3600"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,MICRO TIPO II,MICRO DESKTOP I5,50,"R$  221,7800"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,MICRO TIPO III,MICRO DESKTOP I3,17,"R$  173,9300"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,IMPRESSORA TIPO I,MULTIFUNCIONAL LASER MONOCROMÁTICA A4,26,"R$  286,3400"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,IMPRESSORA TIPO II,IMPRESSORA LASER MONOCROMÁTICA A4,21,"R$  234,7000"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO II,SWITCH 48 PORTAS,1,"R$  193,4700"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO III,SWITCH 16 PORTAS,1,"R$  50,3000"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO IV,SWITCH 8 PORTAS,1,"R$  13,4200"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO V,REPETIDOR WIFI AMPLIFICADOR DE SINAL MÍNIMO 2800M.,2,"R$  36,6500"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO VI,ACCESS POINT INDOOR BANDA DUPLA MÍNIMO 1750 MBPS,1,"R$  91,1800"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO XII,NO BREAK 700 VA,2,"R$  41,9500"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,TV TIPO III,TV 40 POLEGADAS SMART OU SUPERIOR,2,"R$  105,0900"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,IMPRESSORA TIPO III,MULTIFUNCIONAL JATO DE TINTA A4 COM BULK INK,10,"R$  148,1100"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,SCANNER TIPO II,SCANNER DE MESA A4 MÍNIMO 40PPM DUPLEX,1,"R$  201,7300"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO X,NO BREAK 3000 VA,1,"R$  199,4600"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,COMPONENTE TIPO XI,NO BREAK 1200 VA,1,"R$  63,8000"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,IMPRESSORA TIPO VIII,IMPRESSORA DE PULSEIRAS MONOCROMÁTICA,2,"R$  294,6900"
282,CADASTRO,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,IMPRESSORA TIPO IX,IMPRESSORA TÉRMICA DE ETIQUETA MONOCROMÁTICA ADESIVA,4,"R$  80,5100"
285,CADASTRO,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,NOTEBOOK I7,,2,"R$  534,7100"
285,CADASTRO,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,NOTEBOOK I5,,8,"R$  344,7500"
285,CADASTRO,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,NOTEBOOK I3,,2,"R$  270,3900"
285,CADASTRO,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,MICRO DESKTOP I7,,10,"R$  387,3600"
285,CADASTRO,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,MICRO DESKTOP I5,,30,"R$  221,7800"
285,CADASTRO,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,MICRO DESKTOP I3,,4,"R$  173,9300"
