CONTRATOS,CLIENTE,ORGANIZACAO,NUMERO_CONTRATO,NUMERO_MAIS_CONTRATO,CONTRACT_ID
FMS PB,FMS,ALUCOM,11.079-2023,FMS PB - 11.079-2023,51
SEMCAS - 017-2022,SEMCAS,ALUCOM,017-2022,SEMCAS - 017-2022 - 017-2022,52
SEMCAS - 019-2022,SEMCAS,ALUCOM,019-2022,SEMCAS - 019-2022 - 019-2022,53
PREFEITURA MUNICIPAL DE ARACATI - CASA CIVIL,PREFEITURA MUNICIPAL DE ARACATI - CASA CIVIL,ALUCOM,2022.04.13-008,PREFEITURA MUNICIPAL DE ARACATI - CASA CIVIL - 2022.04.13-008,54
PREF. MUNICIPAL DE CANINDE - AGRICULTURA,PREF. MUNICIPAL DE CANINDE - AGRICULTURA,ALUCOM,20230929012,PREF. MUNICIPAL DE CANINDE - AGRICULTURA - 20230929012,55
PREF. MUNICIPAL DE ARACATI - SEGURANÇA CIDADÃ - 017-2022,PREFEITURA MUNICIPAL DE ARACATI - SEGURANÇA CIDADÃ,ALUCOM,2022.04.13-017,PREF. MUNICIPAL DE ARACATI - SEGURANÇA CIDADÃ - 017-2022 - 2022.04.13-017,56
PREF. MUNICIPAL DE ARACATI - SEGURANÇA CIDADÃ - 018-2022,PREFEITURA MUNICIPAL DE ARACATI - SEGURANÇA CIDADÃ,ALUCOM,2022.04.13.018,PREF. MUNICIPAL DE ARACATI - SEGURANÇA CIDADÃ - 018-2022 - 2022.04.13.018,57
PREFEITURA MUNICIPAL DE MARANGUAPE - GABINETE,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,02.25.06.02.001,PREFEITURA MUNICIPAL DE MARANGUAPE - GABINETE - 02.25.06.02.001,58
PREFEITURA MUNICIPAL DE MOCOCA,PREFEITURA MUNICIPAL DE MOCOCA,ALUCOM,39/2025,PREFEITURA MUNICIPAL DE MOCOCA - 39/2025,59
PREF. MUNICIPAL DE ARACATI - DESENVOLVIMENTO SOCIAL - 021-2022,PREF. MUNICIPAL DE ARACATI - DESENVOLVIMENTO SOCIAL,ALUCOM,20220413021,PREF. MUNICIPAL DE ARACATI - DESENVOLVIMENTO SOCIAL - 021-2022 - 20220413021,60
PREFEITURA MUNICIPAL DE TIANGUA - SAUDE,PREFEITURA MUNICIPAL DE TIANGUA - SAUDE,ALUCOM,1004202401SESA,PREFEITURA MUNICIPAL DE TIANGUA - SAUDE - 1004202401SESA,61
PREFEITURA MUNICIPAL DE MARANGUAPE - SAUDE,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,05.25.03.03.001,PREFEITURA MUNICIPAL DE MARANGUAPE - SAUDE - 05.25.03.03.001,62
PREFEITURA MUNICIPAL DE MARANGUAPE - SAFIN,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,03.25.02.03.002,PREFEITURA MUNICIPAL DE MARANGUAPE - SAFIN - 03.25.02.03.002,63
PREF. MUNICIPAL DE ARACATI - CONTROLADORIA,PREF. MUNICIPAL DE ARACATI - CONTROLADORIA,ALUCOM,2022.04.13-012,PREF. MUNICIPAL DE ARACATI - CONTROLADORIA - 2022.04.13-012,64
PREFEITURA MUNICIPAL DE ITAREMA - SAUDE,PREFEITURA MUNICIPAL DE ITAREMA - SAUDE,ALUCOM,015/2025-SMS,PREFEITURA MUNICIPAL DE ITAREMA - SAUDE - 015/2025-SMS,65
PREFEITURA MUNICIPAL DE ACOPIARA - PROCURADORIA,PREFEITURA MUNICIPAL DE ACOPIARA - PROCURADORIA,ALUCOM,2024.01.05.05,PREFEITURA MUNICIPAL DE ACOPIARA - PROCURADORIA - 2024.01.05.05,66
PREFEITURA MUNICIPAL DE MARANGUAPE - SEJUV,MARANGUAPE - PREFEITURA MUNICIPAL DE MARANGUAPE,ALUCOM,13.25.03.03.001,PREFEITURA MUNICIPAL DE MARANGUAPE - SEJUV - 13.25.03.03.001,67
